number,address,lat,lon,mon,tue,wed,thu,fri,sat,sun
40,"UNGHENI, NATIONALA, 15",47.207667,27.800968,09:00–23:00,09:00–23:00,09:00–23:00,09:00–23:00,09:00–23:00,09:00–23:00,09:00–23:00
41,"CHISINAU, INDEPENDENTEI, 4, 1",46.985429,28.844508,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
42,"CHISINAU, SARMIZEGETUSA, 35, 1",46.986753,28.873758,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
43,"CHISINAU, IAZULUI, 4, 1",47.057502,28.846855,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
44,"CHISINAU, ALBISOARA, 80, 5",47.036752,28.827756,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
45,"CHISINAU, MIRCEA CEL BATRIN, 32, 10",47.04,28.891163,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
46,"STRASENI, STEFAN CEL MARE SI SFINT, 125",47.151308,28.614538,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
47,"CHISINAU, LUPU VASILE, 61, 5",47.021675,28.80101,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
48,"STRASENI, STEFAN CEL MARE SI SFINT, 26",47.151308,28.614538,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
49,"CHISINAU, VIERU GRIGORE, 18",47.031408,28.842934,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
50,"CHISINAU, TRANDAFIRILOR, 13, 1",46.99821,28.852977,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00
51,"CHISINAU, ZADNIPRU PETRU, 2, 1",47.043764,28.88292,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
52,"HINCESTI, CHISINAULUI, 10",46.830806,28.58906,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
53,"CHISINAU, CALEA IESILOR, 55",47.044327,28.787304,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
54,"CHISINAU, ALECSANDRI VASILE, 143",47.027199,28.846911,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00
55,"CHISINAU, MUNCESTI, 388",46.984072,28.894697,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
56,"CHISINAU, DACIA, 44",46.976838,28.869463,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00
57,"CRICOVA, CHISINAULUI, 95",47.138827,28.866697,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,Închis
58,"CAUSENI, EMINESCU MIHAI, 14",46.64484,29.409334,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
59,"CHISINAU, DRAGAN MARIA, 11",47.022551,28.88357,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00
60,"CHISINAU, MACILOR, 11",47.033375,28.865947,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00,08:00–22:00
61,"CIMISLIA, BARBU LAUTARU, 2",46.525249,28.783688,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
62,"FLORESTI, 31 AUGUST, 55",47.893939,28.298458,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00
63,"FALESTI, MOLDOVEI, 14",47.573562,27.708399,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
64,"CHISINAU, RENASTERII NATIONALE, 12",47.03627,28.850369,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00
65,"SINGEREI, INDEPENDENTEI, 132",47.633734,28.149294,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
66,"DONDUSENI, INDEPENDENTEI, 15",48.234414,27.616015,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
67,"REZINA, 27 AUGUST, 15",47.748532,28.957868,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
68,"SINGERA, CHISINAULUI, 12",46.919808,28.971462,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
69,"CRIULENI, STEFAN CEL MARE, 23",47.206946,29.159855,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
70,"CHISINAU, DACIA, 62",46.976838,28.869463,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00
71,"CHISINAU, MIRON COSTIN, 13, 1",47.050249,28.866926,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,09:00–22:00
72,"BALTI, KIEV, 6",47.784259,27.925075,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
73,"BALTI, CALEA IESILOR, 112",47.755082,27.883015,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
74,"CHISINAU, MUNCESTI, 162",47.002543,28.869055,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–23:00
75,"CHISINAU, GHIBU ONISIFOR, 5",47.036535,28.777654,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
76,"CHISINAU, MOSCOVA, 1, 3",47.04933,28.863896,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
77,"CHISINAU, GINTA LATINA, 3, 1",47.035053,28.882221,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
78,"NISPORENI, SUVERANITATII, 15",47.080914,28.183114,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
79,"UNGHENI, BERNARDAZZI, 15",47.219867,27.797489,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
80,"CHISINAU, TRAIAN, 22",46.979329,28.846159,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
81,"CHISINAU, LUPU VASILE, 59, 4",47.021675,28.80101,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
82,"CHISINAU, BOTEV HRISTO, 17",46.988381,28.847789,,,,,,,
83,"CHISINAU, CUZA-VODA, 24",46.980064,28.856966,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
84,"IALOVENI, ALEXANDRU CEL BUN, 43",46.947457,28.774792,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
85,"TRUSENI, 27 AUGUST, 67",47.072377,28.685069,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00,08:00–22:00
86,"CALARASI, ALEXANDRU CEL BUN, 100",47.249279,28.310618,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
87,"MAGDACESTI, MAGDACESTI /SATUL/",47.144564,28.835548,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
88,"BRICENI, INDEPENDENTEI, 18, o",48.359493,27.089151,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
89,"DURLESTI, CARTUS, 44, a",47.007017,28.764377,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
90,"CAHUL, INDEPENDENTEI, 3",45.904327,28.193203,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
91,"HINCESTI, CHISINAULUI, 19, B",46.833268,28.5983,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
92,"GRATIESTI, STEFAN CEL MARE SI SFINT, 2",47.090506,28.829367,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
93,"VATRA, STEFAN VODA, 60",47.075472,28.734754,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
94,"PERESECINA, PERESECINA /SATUL/",47.240665,28.763887,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
95,"BACIOI, INDEPENDENTEI, 64",46.910078,28.890863,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
96,"VARNITA, TIGHINA, 46",46.863213,29.476279,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
