number,address,lat,lon,mon,tue,wed,thu,fri,sat,sun
131,"CHISINAU, SOS. HINCESTI, 20",47.006532,28.824481,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
132,"CHISINAU, BD. TRAIAN, 13/1",46.982603,28.852808,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
133,"CHISINAU, STR. NICOLAE COSTIN, 44/1",47.035633,28.788271,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
134,"CHISINAU, STR. CUZA VODA, 44",46.974401,28.848486,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
135,"CHISINAU, STR. VADUL LUI VODA, 7/1",47.029504,28.879549,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
136,"CALARASI, STR. EMINESCU, 73",47.247749,28.327801,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
137,"ORHEI, STR. VASILIE LUPU, 36/1",47.376385,28.823678,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
138,"CHISINAU, STR. DOINA SI ION ALDEA-TEODOROVICI",47.029932,28.794256,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
139,"CAHUL, STR. ALEXEI MATEEVICI, 12V",45.906537,28.197309,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
140,"CRICOVA, STR. CHISINAULUI, 25",47.121264,28.866985,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
141,"CHISINAU, STR. CALEA MOSILOR, 4",47.025447,28.861025,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
142,"VADUL LUI VODA, STR. STEFAN CEL MARE 2/2",47.086285,29.085494,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
143,"CHISINAU, BD. STEFAN CEL MARE, 6/1",47.014785,28.848255,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00
144,"CHISINAU, STR. DUMITRU RISCANU, 11",47.036786,28.865155,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
145,"VULCANEST, STR. GHERTENE, 5",47.027199,28.846911,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00
146,"CHISINAU, STR. SPICULUI, 6",46.995994,28.785691,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
147,"CANTEMIR, STR. BASARABIE, 6",46.280121,28.198338,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
148,"NISPORENI, COM. VARZARESTI",47.085401,28.166164,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
149,"CALARASI, STR. MIHAI EMINESCU, 23",47.247749,28.327801,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
150,"CHISINAU, SAT. COLONITA",47.048471,28.925959,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
151,"CHISINAU, STR. PARIS, 34/6",47.030983,28.781183,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
152,"CHISINAU, BD. BANULESCU BODONI, 57",47.02931,28.835975,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
153,"CHISINAU, STR. ALBA IULIA, 7/1",47.029003,28.788014,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
154,"BALTI, STR. STEFAN CEL MARE, 8/1",47.767443,27.937973,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
