number,address,lat,lon,mon,tue,wed,thu,fri,sat,sun
71,"Chisinau, str. Petru Zadnipru, 16/8",47.0437638,28.8829197,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
72,"Chisinau, str. Carierei, 5",47.0362699,28.8503694,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00
73,"Chisinau, bd. Mircea cel Batran, 3",47.0467717,28.8896134,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
74,"Chisinau, str. Vladimir Korolenko, 9",46.9924057,28.8194413,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
75,"Chisinau, str. Ion Luca Caragiale, 2/3",47.02761779999999,28.7939956,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
76,"Chisinau, str. Iazului, 15",47.057502,28.8468547,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
77,"Chisinau, str. Alecu Russo, 9/6",47.0386549,28.8822345,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
78,"Chisinau, str. Botanica Veche, 8/2",46.9768384,28.8694631,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00
79,"Chisinau, str. Cojocarilor 20c",47.02719889999999,28.8469112,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00
